epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.037,1.83643,1.9874,1.34582,0.47959,0.3898,0.38254,0.17425,1.7881,1.89002,1.25062,0.000653333,0.000653333,0.000653333
2,329.982,1.70315,1.37714,1.25474,0.64918,0.47174,0.49613,0.23621,1.85752,1.60546,1.29584,0.00125466,0.00125466,0.00125466
3,497.128,1.68261,1.32449,1.25671,0.57912,0.48191,0.51675,0.25088,1.78984,1.59325,1.31656,0.00178999,0.00178999,0.00178999
4,670.628,1.65462,1.30412,1.24617,0.67274,0.53289,0.58898,0.28446,1.80042,1.44266,1.32598,0.001703,0.001703,0.001703
5,849.272,1.60553,1.24791,1.22236,0.64285,0.54767,0.58211,0.28777,1.76487,1.3636,1.31701,0.001604,0.001604,0.001604
6,1041.42,1.59691,1.20391,1.2112,0.69979,0.58274,0.62305,0.33258,1.72651,1.26809,1.25043,0.001505,0.001505,0.001505
7,1258.89,1.55567,1.18265,1.20163,0.76091,0.53947,0.64466,0.34008,1.70877,1.30186,1.2271,0.001406,0.001406,0.001406
8,1429.44,1.54449,1.13279,1.17751,0.73524,0.6029,0.6753,0.35999,1.5752,1.263,1.20371,0.001307,0.001307,0.001307
9,1586.86,1.51903,1.14469,1.17835,0.68446,0.59704,0.64471,0.35786,1.61323,1.35097,1.1887,0.001208,0.001208,0.001208
10,1750.66,1.46057,1.08179,1.15244,0.72005,0.60362,0.65943,0.36179,1.56343,1.12771,1.19432,0.001109,0.001109,0.001109
11,1924.94,1.44418,1.10685,1.16432,0.77016,0.52907,0.62375,0.35186,1.60341,1.23141,1.19929,0.00101,0.00101,0.00101
12,2115.33,1.41317,1.05407,1.15519,0.75282,0.60526,0.68208,0.3842,1.53637,1.12246,1.16131,0.000911,0.000911,0.000911
13,2300.2,1.37225,1.02721,1.13634,0.804,0.61513,0.70223,0.39834,1.49162,1.09551,1.14479,0.000812,0.000812,0.000812
14,2452.09,1.34553,0.99649,1.12107,0.78772,0.61349,0.71456,0.4134,1.47592,1.03836,1.12545,0.000713,0.000713,0.000713
15,2601.77,1.33011,0.96825,1.1114,0.78716,0.62171,0.69974,0.40964,1.46981,1.04205,1.13023,0.000614,0.000614,0.000614
16,2751.82,1.29767,0.94643,1.0984,0.78433,0.64474,0.72172,0.41239,1.48773,1.05827,1.13509,0.000515,0.000515,0.000515
17,2903.86,1.26387,0.92428,1.08116,0.77296,0.64309,0.72053,0.42064,1.45351,1.00774,1.12325,0.000416,0.000416,0.000416
18,3063.09,1.23577,0.90087,1.0735,0.82617,0.62993,0.73017,0.42186,1.44642,1.00525,1.11465,0.000317,0.000317,0.000317
19,3219.26,1.22301,0.88001,1.06963,0.79958,0.65296,0.73563,0.43039,1.42424,0.98591,1.11092,0.000218,0.000218,0.000218
20,3373.51,1.21593,0.8815,1.06365,0.78827,0.64638,0.73954,0.43705,1.40203,0.98233,1.10291,0.000119,0.000119,0.000119
